iter	Passed	Remaining
209	105103	2397355
210	105585	2396434
211	106031	2394717
212	106512	2393771
213	106999	2392992
214	107653	2395909
215	108037	2392829
216	108384	2388959
217	108851	2387752
218	109263	2385336
219	109835	2386431
220	110553	2390650
221	110979	2388567
222	111509	2388710
223	112061	2389318
224	112467	2386806
225	112977	2386530
226	113407	2384548
227	114002	2386049
228	114436	2384168
229	114965	2384286
230	115360	2381626
231	115813	2380167
232	116278	2378976
233	116628	2375430
234	117072	2373832
235	117468	2371272
236	118152	2374521
237	118768	2376376
238	119207	2374665
239	119686	2373787
240	120168	2372961
241	120684	2372805
242	121136	2371386
243	121556	2369355
244	122021	2368217
245	122418	2365763
246	122861	2364206
247	123352	2363595
248	123940	2364815
249	124667	2368681
250	125185	2368546
251	125671	2367809
252	126064	2365324
253	126496	2363590
254	126973	2362695
255	127425	2361357
256	127859	2359682
257	128273	2357637
258	128960	2360633
259	129499	2360867
260	130036	2361077
261	130478	2359569
262	131045	2360310
263	131477	2358622
264	131937	2357451
265	132347	2355392
266	132705	2352411
267	133194	2351780
268	133610	2349851
269	134142	2349979
270	134556	2348041
271	134914	2345127
272	135314	2342971
273	135769	2341775
274	136278	2341504
275	136734	2340334
276	137189	2339148
277	137655	2338162
278	138120	2337151
279	138541	2335415
280	138930	2333138
281	139612	2335788
282	140118	2335478
283	140571	2334284
284	140911	2331219
285	141433	2331178
286	141859	2329564
287	142403	2329877
288	142823	2328179
289	143249	2326566
290	143673	2324948
291	144197	2324945
292	144553	2322237
293	144961	2320365
294	145416	2319273
295	145797	2316998
296	146304	2316732
297	146760	2315658
298	147258	2315260
299	147614	2312624
300	148011	2310651
301	148467	2309599
302	148961	2309144
303	149431	2308327
304	149973	2308604
305	150694	2311634
306	151064	2309268
307	151548	2308656
308	151912	2306221
309	152370	2305223
310	152822	2304137
311	153215	2302159
312	153685	2301350
313	154061	2299150
314	154666	2300361
315	155279	2301668
316	155757	2300986
317	156228	2300193
318	156627	2298346
319	157006	2296213
320	157523	2296112
321	158002	2295456
322	158485	2294850
323	158912	2293438
324	159338	2292026
325	159842	2291722
326	160245	2289988
327	160729	2289412
328	161192	2288535
329	161705	2288371
330	162122	2286856
331	162593	2286097
332	163051	2285174
333	163476	2283774
334	163930	2282789
335	164298	2280617
336	164734	2279394
337	165179	2278299
338	165709	2278383
339	166153	2277276
340	166644	2276829
341	167013	2274699
342	167339	2272012
343	167827	2271524
344	168254	2270219
345	168733	2269615
346	169189	2268699
347	169671	2268141
348	170067	2266431
349	170583	2266322
350	171058	2265673
351	171462	2264083
352	172121	2265854
353	172660	2266046
